N,P,K,ph,label
75,53,18,6.864793607,maize
81,45,23,6.192360003,maize
73,45,21,6.636803223,maize
71,35,24,5.826426917,maize
96,54,22,6.960358276,maize
99,39,18,6.11275104,maize
62,48,20,6.708446922,maize
86,37,16,5.561510732,maize
94,50,19,5.873242491,maize
76,39,24,6.995843776,maize
77,52,17,5.714799723,maize
74,39,23,6.78073637,maize
81,49,20,5.513697923,maize
63,42,21,5.798423908,maize
99,38,21,6.352471866,maize
90,52,25,6.822586546,maize
68,40,19,6.655426355,maize
60,57,24,6.121294041,maize
71,52,18,5.790770203,maize
61,59,17,6.47444292,maize
88,38,15,6.455116637,maize
65,60,22,6.606984086,maize
78,37,22,6.330554389,maize
78,58,15,6.528631266,maize
92,60,23,5.721667141,maize
79,59,17,6.644205485,maize
91,55,15,6.376651091,maize
76,51,18,6.247040422,maize
87,48,25,6.656730008,maize
71,60,22,6.2048017,maize
90,57,24,6.158860284,maize
67,35,22,6.385684214,maize
60,54,19,6.417820493,maize
83,58,23,6.381201909,maize
83,57,19,6.877869005,maize
3,49,18,3.692863601,mothbeans
22,59,23,4.371745575,mothbeans
36,58,25,8.399135958,mothbeans
4,43,18,8.840656256,mothbeans
29,54,16,8.153022903,mothbeans
32,43,22,5.270749441,mothbeans
14,55,15,8.050304395,mothbeans
5,35,20,9.679240873,mothbeans
25,57,24,6.974978386,mothbeans
11,53,24,7.39389918,mothbeans
40,49,17,6.68727523,mothbeans
38,56,25,7.88118645,mothbeans
27,43,23,5.875333778,mothbeans
24,38,22,8.202706015,mothbeans
23,45,21,8.985348193,mothbeans
29,57,20,5.87707519,mothbeans
31,35,23,7.707595055,mothbeans
0,55,25,4.524171562,mothbeans
7,45,22,9.926212291,mothbeans
17,58,25,6.455592696,mothbeans
11,44,17,8.016210782,mothbeans
22,49,22,3.71105919,mothbeans
9,51,19,5.49091063,mothbeans
28,48,15,9.254089438,mothbeans
26,50,19,6.005242945,mothbeans
36,56,20,7.437078236,mothbeans
8,60,18,3.808429173,mothbeans
24,37,21,5.818219385,mothbeans
22,43,24,4.52363558,mothbeans
36,43,24,3.510404312,mothbeans
22,44,24,6.030447288,mothbeans
17,43,22,5.498340808,mothbeans
8,45,15,4.61136408,mothbeans
7,56,23,5.545219232,mothbeans
36,57,16,8.292875734,mothbeans
11,45,19,3.828031463,mothbeans
6,36,22,8.869532817,mothbeans
17,57,20,3.793575185,mothbeans
4,47,20,4.193189124,mothbeans
9,49,16,7.661537348,mothbeans
25,51,24,9.392694614,mothbeans
36,44,21,4.516154055,mothbeans
21,38,20,5.794289715,mothbeans
37,57,20,7.354286985,mothbeans
32,48,18,5.993513566,mothbeans
29,44,20,8.620107545,mothbeans
25,51,18,9.45949344,mothbeans
10,44,24,8.0344125,mothbeans
23,35,18,5.414492777,mothbeans
9,60,23,6.276004336,mothbeans
3,58,21,9.160691747,mothbeans
22,42,22,7.887658711,mothbeans
12,39,21,8.183844843,mothbeans
39,36,22,9.072011412,mothbeans
32,41,16,7.702287236,mothbeans
30,41,15,5.88509677,mothbeans
19,36,22,6.16496284,mothbeans
4,46,15,3.504752314,mothbeans
21,39,20,7.388007483,mothbeans
35,57,25,8.340398059,mothbeans
22,55,24,8.66077954,mothbeans
35,51,17,3.558822825,mothbeans
17,56,17,5.9565851,mothbeans
28,57,17,9.416003106,mothbeans
22,36,16,8.18422855,mothbeans
11,41,19,5.131779302,mothbeans
38,38,18,6.294130313,mothbeans
23,37,24,7.991902443,mothbeans
25,35,20,8.923095695,mothbeans
40,45,20,6.878498176,mothbeans
23,58,19,5.243634849,mothbeans
2,56,23,7.550090941,mothbeans
3,56,17,8.709291688,mothbeans
26,51,25,7.792508068,mothbeans
39,42,20,8.055908858,mothbeans
27,59,20,4.397698806,mothbeans
24,45,19,5.952384957,mothbeans
7,40,17,8.532078733,mothbeans
15,45,23,7.224193642,mothbeans
26,52,23,4.931890506,mothbeans
20,45,16,4.626212446,mothbeans
34,54,24,5.026003659,mothbeans
19,51,25,3.5253661,mothbeans
29,41,21,8.86979671,mothbeans
20,50,22,9.406887533,mothbeans
11,40,23,5.80428611,mothbeans
15,54,15,8.35495812,mothbeans
35,55,22,8.634929739,mothbeans
9,59,25,7.699200949,mothbeans
40,45,18,5.261285926,mothbeans
35,38,19,9.112771682,mothbeans
14,58,17,4.605700542,mothbeans
40,55,18,7.115994051,mothbeans
18,36,23,7.214078621,mothbeans
35,52,15,9.93509073,mothbeans
4,59,22,8.914074888,mothbeans
22,51,16,8.639586199,mothbeans
33,47,17,8.621514073,mothbeans
2,51,17,5.838508699,mothbeans
16,51,21,3.532008668,mothbeans
19,55,20,7.18530147,mungbean
8,54,20,7.034214276,mungbean
36,55,20,6.635968698,mungbean
10,56,16,6.828187499,mungbean
22,56,17,6.89077995,mungbean
9,57,24,7.165121109,mungbean
34,59,23,6.935804256,mungbean
31,51,25,7.196774236,mungbean
0,49,18,6.990095452,mungbean
21,39,20,7.064782138,mungbean
28,35,22,7.156563094,mungbean
17,52,17,6.364967184,mungbean
24,42,23,6.428054409,mungbean
28,46,16,6.664187809,mungbean
21,38,21,6.637677489,mungbean
34,60,25,6.79385576,mungbean
19,53,22,6.852884643,mungbean
31,58,15,7.121571293,mungbean
19,35,24,6.883308033,mungbean
24,53,17,6.421271178,mungbean
13,47,20,6.54450214,mungbean
31,53,16,6.452006451,mungbean
28,45,23,6.489259136,mungbean
31,37,21,6.713410626,mungbean
33,60,15,6.510840928,mungbean
34,45,21,6.287380117,mungbean
13,57,25,6.86308576,mungbean
33,57,17,6.78415271,mungbean
32,57,22,6.769415888,mungbean
23,59,25,6.320768488,mungbean
35,41,18,6.705008504,mungbean
6,48,24,6.790736339,mungbean
29,36,25,7.130278657,mungbean
4,36,22,7.012740397,mungbean
10,59,22,7.155685016,mungbean
14,48,21,6.991242362,mungbean
8,50,21,6.218923893,mungbean
20,40,15,7.199495368,mungbean
36,43,22,6.389882166,mungbean
14,57,15,6.623438282,mungbean
11,60,23,7.033012777,mungbean
10,59,15,6.32400451,mungbean
7,60,25,6.397636709,mungbean
2,47,15,6.401455706,mungbean
20,45,22,6.904587016,mungbean
2,39,15,6.478557136,mungbean
27,40,24,7.063022095,mungbean
35,48,15,6.981758362,mungbean
4,59,25,6.227134139,mungbean
1,48,24,6.232836962,mungbean
36,43,21,7.140437859,mungbean
11,46,24,6.459252023,mungbean
34,47,19,6.568795404,mungbean
21,44,18,7.12851089,mungbean
17,58,20,6.42937879,mungbean
25,40,21,6.248900919,mungbean
2,38,18,6.619891498,mungbean
9,48,20,6.377568542,mungbean
37,49,25,6.415459592,mungbean
36,38,15,6.320662012,mungbean
40,58,15,6.978400282,mungbean
30,44,16,6.442335593,mungbean
1,59,23,7.184398832,mungbean
9,48,22,6.402926221,mungbean
14,41,17,7.085982325,mungbean
35,52,19,6.698574085,mungbean
31,48,17,6.594739424,mungbean
4,41,20,6.647965508,mungbean
30,37,25,7.120032489,mungbean
9,35,20,6.91380932,mungbean
20,41,20,7.073048264,mungbean
37,50,23,6.5304707,mungbean
34,35,21,6.684381357,mungbean
14,37,15,6.581351374,mungbean
23,39,22,6.86483915,mungbean
5,45,21,6.487124217,mungbean
22,37,20,6.605733068,mungbean
40,51,17,6.860602782,mungbean
27,56,20,6.41874299,mungbean
31,40,22,6.365513634,mungbean
38,36,21,6.556372966,mungbean
6,37,17,6.760694228,mungbean
6,47,18,6.715276663,mungbean
24,44,17,6.666380512,mungbean
25,59,19,6.626629798,mungbean
32,56,21,6.702772465,mungbean
8,45,18,7.011030515,mungbean
19,39,17,6.890156495,mungbean
39,37,15,6.821747052,mungbean
33,37,19,7.183189922,mungbean
26,54,17,6.27258822,mungbean
21,51,15,6.679127482,mungbean
22,54,20,6.689825155,mungbean
29,45,16,6.583381939,mungbean
4,40,21,6.725551062,mungbean
10,37,22,7.069747814,mungbean
4,44,19,6.921993878,mungbean
20,45,17,6.770955317,mungbean
23,45,23,6.983130466,mungbean
25,48,21,6.267684328,mungbean
2,24,38,5.922935513,pomegranate
6,18,37,5.937649578,pomegranate
8,26,36,6.804781106,pomegranate
37,18,39,6.424670614,pomegranate
0,27,38,6.738016221,pomegranate
31,25,38,6.497366677,pomegranate
21,21,38,6.327673765,pomegranate
6,30,40,6.36137446,pomegranate
25,27,41,6.923509371,pomegranate
15,11,38,6.630646083,pomegranate
14,5,36,5.832525853,pomegranate
16,10,41,6.738993954,pomegranate
36,7,37,5.782435567,pomegranate
4,20,41,6.537042717,pomegranate
29,22,40,6.145104401,pomegranate
16,15,42,6.890784045,pomegranate
18,27,41,7.175344328,pomegranate
11,18,42,5.938528744,pomegranate
5,15,38,5.709380472,pomegranate
18,23,44,6.184400085,pomegranate
9,8,40,6.553509673,pomegranate
40,27,45,5.885638185,pomegranate
22,23,44,6.143874691,pomegranate
9,16,39,6.101198974,pomegranate
12,29,40,6.594037135,pomegranate
0,17,42,6.859840821,pomegranate
2,21,44,6.56893406,pomegranate
28,6,40,6.769855664,pomegranate
8,23,44,7.130837931,pomegranate
29,16,36,5.740338002,pomegranate
17,18,43,5.843005428,pomegranate
34,21,42,6.648687274,pomegranate
21,23,42,6.902751061,pomegranate
25,17,40,6.608023872,pomegranate
8,25,36,6.828522375,pomegranate
26,18,42,6.910374919,pomegranate
4,19,42,6.306605528,pomegranate
36,24,41,7.009180374,pomegranate
5,24,40,6.297907579,pomegranate
19,17,39,6.728599215,pomegranate
39,30,38,6.965156738,pomegranate
5,29,44,5.578095745,pomegranate
4,24,43,7.199504273,pomegranate
38,21,35,5.841367187,pomegranate
37,11,36,6.710143266,pomegranate
9,25,41,5.972714857,pomegranate
29,22,43,5.561851831,pomegranate
5,21,38,6.107054808,pomegranate
22,26,38,6.988035315,pomegranate
4,18,37,7.13147457,pomegranate
21,6,41,7.086947687,pomegranate
29,21,45,6.749260456,pomegranate
23,5,44,7.16300467,pomegranate
13,7,43,7.013481515,pomegranate
5,13,37,5.648243649,pomegranate
27,24,41,6.610251186,pomegranate
7,23,35,7.054313823,pomegranate
12,20,39,6.026999326,pomegranate
4,19,43,5.779427402,pomegranate
3,9,45,6.535244251,pomegranate
1,27,36,5.684995235,pomegranate
23,30,44,6.12476108,pomegranate
24,21,42,6.999014379,pomegranate
13,30,37,6.277148771,pomegranate
40,11,44,6.322396027,pomegranate
21,9,40,5.956401828,pomegranate
3,27,44,6.591302797,pomegranate
40,29,42,7.104094929,pomegranate
14,25,40,6.407872061,pomegranate
38,14,37,6.658402594,pomegranate
34,9,36,6.276038961,pomegranate
32,14,37,6.825256236,pomegranate
18,21,35,6.368560522,pomegranate
8,23,38,7.005410734,pomegranate
15,6,41,6.897368477,pomegranate
0,5,36,6.152906502,pomegranate
22,9,44,5.744361602,pomegranate
14,8,43,7.051654924,pomegranate
31,11,45,6.034612928,pomegranate
39,17,45,6.924490731,pomegranate
10,5,42,6.887005997,pomegranate
8,28,38,6.8444019,pomegranate
32,13,42,5.786058032,pomegranate
18,9,40,5.627186257,pomegranate
20,27,41,5.700088663,pomegranate
39,25,36,5.567805185,pomegranate
20,7,45,6.077886012,pomegranate
11,10,45,6.397995609,pomegranate
40,18,43,5.767372539,pomegranate
3,26,39,7.079973241,pomegranate
9,16,36,5.893332378,pomegranate
30,20,38,7.058222596,pomegranate
40,9,41,5.78270695,pomegranate
40,30,35,6.269663963,pomegranate
32,25,35,5.892913826,pomegranate
33,23,45,7.116538883,pomegranate
4,14,41,6.430163481,pomegranate
13,17,45,7.159520979,pomegranate
39,24,39,6.431265737,pomegranate
8,28,37,6.082571701,pomegranate
91,94,46,6.149934034,banana
105,95,50,5.849076099,banana
108,92,53,6.276800323,banana
86,76,54,5.926824754,banana
80,77,49,5.519088423,banana
93,94,53,6.079178788,banana
90,92,55,6.13465588,banana
108,89,53,5.808497604,banana
108,88,55,5.891458107,banana
105,77,52,5.816622479,banana
118,88,52,5.843163161,banana
101,87,54,6.376756633,banana
95,75,50,5.623615687,banana
106,85,53,5.91505509,banana
86,95,49,6.458714879,banana
83,79,55,5.565028635,banana
85,95,47,6.211833161,banana
109,79,45,6.490074429,banana
100,76,45,5.590236025,banana
117,86,48,6.225225239,banana
114,94,53,6.190757459,banana
110,78,50,5.915568968,banana
94,70,48,6.195152442,banana
80,71,47,6.156373499,banana
114,79,51,6.313197204,banana
88,78,45,6.324270089,banana
112,73,48,5.707488987,banana
117,76,47,6.119216009,banana
111,87,48,5.571401169,banana
89,83,47,5.63127166,banana
93,91,47,6.101241579,banana
92,81,52,6.438137279,banana
105,74,45,6.098369122,banana
102,71,48,5.695267822,banana
94,91,51,5.618094446,banana
116,71,47,6.435785799,banana
117,79,49,6.176644228,banana
119,72,55,6.220643671,banana
99,73,53,5.871702211,banana
91,84,52,6.390741836,banana
80,90,47,6.21084479,banana
101,70,48,6.012696655,banana
108,89,53,5.908770059,banana
100,80,52,6.049801781,banana
109,91,53,6.010095853,banana
82,78,46,5.738678895,banana
106,70,55,5.74055541,banana
90,86,52,5.793260262,banana
83,95,50,5.50947065,banana
119,90,48,5.986442306,banana
107,72,45,5.790768046,banana
116,81,55,5.915546415,banana
101,75,50,6.242528278,banana
93,81,50,6.036079266,banana
95,75,45,5.829898502,banana
107,71,55,6.088064451,banana
83,94,47,6.469370954,banana
102,73,54,5.720726906,banana
86,79,45,5.80766417,banana
117,86,53,5.703381728,banana
111,79,53,6.165001278,banana
95,74,50,6.002481605,banana
91,75,55,6.212369363,banana
93,83,46,5.765308943,banana
92,85,51,5.740764682,banana
104,80,54,5.879119455,banana
103,72,51,6.099478745,banana
92,75,45,5.674403359,banana
93,85,49,5.694243847,banana
120,87,52,5.905494703,banana
108,72,46,6.110844721,banana
105,88,54,6.020445317,banana
98,79,50,6.435917308,banana
111,88,55,5.505393833,banana
97,74,45,5.677719902,banana
95,82,48,5.719014989,banana
89,91,55,6.275572298,banana
89,85,55,6.275384607,banana
118,88,51,6.201911642,banana
101,92,45,5.758054257,banana
99,92,47,6.323933647,banana
82,77,46,5.901100841,banana
90,86,55,5.644486582,banana
95,88,52,6.235461772,banana
104,73,46,6.28236237,banana
102,73,52,6.356090905,banana
100,74,52,5.837258235,banana
94,89,48,5.653437902,banana
99,70,46,5.727469947,banana
112,87,48,6.200111068,banana
117,82,45,5.614471478,banana
96,86,51,6.257369799,banana
113,85,45,6.037430836,banana
105,93,46,5.760457558,banana
85,89,51,6.158164422,banana
108,94,47,6.387431383,banana
92,81,52,5.891413895,banana
110,71,54,5.725418961,banana
82,75,55,6.281069505,banana
117,81,53,5.507641778,banana
2,40,27,5.954626604,mango
39,24,31,4.757114897,mango
21,26,27,5.699586972,mango
25,22,25,5.977413803,mango
0,21,32,6.430139436,mango
20,19,35,6.113935087,mango
19,21,34,5.074272692,mango
18,17,31,5.667507706,mango
11,36,33,5.978634285,mango
30,28,30,5.064613314,mango
18,19,27,4.772385986,mango
23,23,27,5.161148592,mango
37,30,34,6.797779227,mango
11,27,30,6.39474303,mango
12,19,31,5.566704378,mango
3,28,33,5.755049971,mango
37,38,32,5.417340525,mango
26,37,30,6.166173834,mango
14,18,30,5.191265116,mango
40,16,35,4.954739564,mango
4,20,25,5.664587011,mango
36,25,33,5.548584852,mango
30,17,31,6.804437106,mango
28,37,28,6.097869767,mango
38,15,30,5.075504537,mango
12,37,30,4.546466109,mango
38,19,31,5.855119268,mango
8,33,29,6.442393461,mango
15,27,28,4.507523551,mango
34,16,25,6.10729559,mango
11,36,31,6.47544932,mango
33,29,34,6.832979509,mango
12,31,26,5.395275719,mango
12,34,28,6.13526938,mango
5,16,31,4.555688532,mango
1,30,29,6.434197756,mango
16,35,31,5.316875978,mango
35,18,26,5.279388967,mango
4,40,26,6.720041791,mango
9,29,34,5.72742254,mango
2,38,33,4.691396195,mango
26,32,32,6.810186079,mango
34,38,31,6.454045329,mango
5,32,33,5.842763773,mango
31,29,26,5.024124684,mango
34,34,35,6.422710539,mango
36,19,32,4.94295037,mango
7,17,26,6.414526606,mango
38,15,27,6.777788126,mango
5,19,25,6.441328044,mango
37,36,26,4.650536197,mango
21,31,32,5.254532213,mango
37,36,27,5.910634533,mango
23,23,30,4.755273631,mango
36,26,26,6.814630246,mango
24,33,35,5.342866119,mango
26,18,30,6.336234624,mango
22,17,26,4.754435025,mango
11,34,32,6.831706773,mango
29,35,28,6.967417766,mango
22,28,26,4.947683034,mango
23,24,32,5.630619901,mango
1,35,34,6.27339822,mango
2,24,34,6.472774648,mango
39,37,25,6.953246506,mango
15,36,27,5.643710216,mango
3,18,31,6.392313973,mango
8,38,32,4.981816523,mango
33,31,34,5.421265283,mango
14,29,32,6.942520105,mango
18,20,26,5.435840509,mango
9,21,32,5.870116071,mango
20,30,27,4.74910393,mango
9,38,25,5.497946899,mango
26,24,34,6.811291098,mango
31,36,29,6.460542749,mango
14,18,35,4.791146778,mango
40,16,35,6.4841522,mango
28,27,34,6.526654345,mango
0,17,30,6.279133738,mango
1,29,29,6.052026047,mango
2,36,31,5.73171945,mango
12,27,26,5.32307197,mango
7,28,35,4.66910839,mango
0,36,26,5.101206389,mango
26,35,31,5.339556562,mango
27,21,30,5.061081874,mango
22,38,31,5.821106036,mango
22,18,31,5.956027059,mango
28,23,28,5.676032581,mango
7,31,27,6.524114355,mango
29,34,26,6.273953676,mango
8,37,33,6.128167757,mango
39,16,27,4.934964765,mango
40,24,25,5.445008416,mango
19,38,26,4.525722333,mango
21,21,30,5.403908328,mango
22,18,33,6.621623545,mango
31,20,30,6.207495815,mango
18,26,31,5.418475257,mango
24,130,195,6.112305667,grapes
13,144,204,6.092241627,grapes
22,123,205,5.896343436,grapes
36,125,196,6.15526103,grapes
24,131,196,5.732453638,grapes
2,123,198,6.253034534,grapes
35,140,197,6.106190557,grapes
11,122,195,5.647202395,grapes
6,123,203,6.130310493,grapes
17,134,204,6.499604931,grapes
25,130,197,5.554831977,grapes
27,145,205,5.800242694,grapes
9,122,201,5.570290539,grapes
16,139,203,6.27564088,grapes
32,141,204,5.536645599,grapes
22,138,195,6.208196881,grapes
31,144,202,5.870600622,grapes
3,136,205,6.334771461,grapes
28,122,197,5.856575335,grapes
4,136,204,5.898944282,grapes
39,145,201,5.775600435,grapes
38,132,197,5.931101816,grapes
36,133,198,6.2286454,grapes
25,121,201,5.594240603,grapes
15,125,199,5.569230319,grapes
24,140,205,5.93202852,grapes
13,132,203,6.423216506,grapes
5,126,197,6.417500829,grapes
30,120,200,6.234904253,grapes
23,142,197,6.000573725,grapes
26,135,203,5.685102769,grapes
7,126,203,5.662140095,grapes
32,139,198,6.358186848,grapes
9,141,202,6.119495295,grapes
20,142,196,6.207600783,grapes
32,129,201,6.48754639,grapes
3,134,199,5.81717753,grapes
38,138,204,6.325480034,grapes
14,131,198,5.562790949,grapes
20,122,204,6.487369687,grapes
40,126,201,6.116982944,grapes
36,128,204,5.695792761,grapes
11,132,197,5.734317007,grapes
0,137,195,6.329499832,grapes
19,123,200,6.167013532,grapes
31,136,197,5.653776058,grapes
4,134,200,5.840256272,grapes
39,139,201,5.539980812,grapes
8,127,196,5.833302165,grapes
39,138,203,6.399433771,grapes
32,120,204,6.138958698,grapes
12,142,203,5.972850838,grapes
8,133,195,6.456079585,grapes
8,139,199,6.336426667,grapes
21,134,202,6.425419926,grapes
40,140,195,6.294395676,grapes
39,127,202,6.477768039,grapes
19,120,195,5.931538447,grapes
21,139,201,5.980598579,grapes
17,136,195,6.389783283,grapes
33,139,203,5.693287415,grapes
22,133,201,6.00299607,grapes
32,130,196,6.372959542,grapes
37,135,205,5.510924849,grapes
15,140,195,5.69945282,grapes
39,132,196,5.778594403,grapes
40,121,199,6.315586313,grapes
40,132,202,5.971813006,grapes
29,142,203,5.891195653,grapes
32,121,199,6.129812716,grapes
6,140,205,6.313085601,grapes
8,120,196,6.053662544,grapes
34,133,202,5.804799142,grapes
35,135,199,6.400719746,grapes
16,145,199,5.953966361,grapes
8,136,201,5.609255992,grapes
25,129,195,5.777271492,grapes
16,130,201,5.682395429,grapes
39,129,203,5.863996687,grapes
38,135,203,6.444373116,grapes
33,120,205,5.550832178,grapes
35,125,204,6.107741788,grapes
1,132,200,5.620745638,grapes
39,140,203,6.349875906,grapes
28,145,202,6.484323189,grapes
6,128,200,5.838748311,grapes
6,139,199,6.29099842,grapes
29,122,196,5.638328481,grapes
37,144,197,6.415555956,grapes
38,120,197,6.323722572,grapes
38,141,198,5.757009965,grapes
14,121,203,6.158689406,grapes
6,125,204,5.733539807,grapes
32,138,197,5.908724337,grapes
11,124,204,6.361141107,grapes
23,138,200,5.96537863,grapes
40,143,201,6.476757723,grapes
6,142,202,6.224542938,grapes
37,124,195,6.209928251,grapes
35,134,204,5.841138354,grapes
119,25,51,6.283818329,watermelon
119,19,55,6.818261383,watermelon
105,30,50,6.37620108,watermelon
114,8,50,6.581587932,watermelon
93,22,52,6.932739726,watermelon
80,26,55,6.140099215,watermelon
85,27,45,6.467095849,watermelon
85,22,53,6.849471704,watermelon
82,22,45,6.512196212,watermelon
118,13,54,6.039584629,watermelon
83,25,53,6.057697106,watermelon
86,15,47,6.423898762,watermelon
101,10,47,6.936997681,watermelon
119,9,50,6.251286661,watermelon
104,17,46,6.190015912,watermelon
95,12,51,6.681606702,watermelon
102,14,52,6.51075991,watermelon
109,21,55,6.770278088,watermelon
81,18,50,6.429788073,watermelon
103,17,51,6.209888345,watermelon
105,14,50,6.419052193,watermelon
97,8,52,6.237861736,watermelon
120,19,49,6.762471629,watermelon
95,16,55,6.612847999,watermelon
83,29,52,6.704688865,watermelon
83,9,45,6.049609892,watermelon
91,21,50,6.762030215,watermelon
116,5,54,6.65398725,watermelon
112,28,54,6.738030547,watermelon
88,29,51,6.095689937,watermelon
118,15,45,6.538006356,watermelon
92,21,48,6.377427122,watermelon
106,14,45,6.417011754,watermelon
99,5,47,6.649086972,watermelon
98,8,51,6.25933595,watermelon
108,22,46,6.121168559,watermelon
119,7,55,6.031424482,watermelon
117,27,48,6.835268184,watermelon
109,10,53,6.551750306,watermelon
80,16,46,6.940236218,watermelon
100,18,52,6.87606733,watermelon
91,7,53,6.457216535,watermelon
86,6,53,6.921847888,watermelon
107,5,52,6.881425746,watermelon
103,16,49,6.915717008,watermelon
101,20,48,6.206247494,watermelon
85,25,47,6.29542477,watermelon
84,7,51,6.399669044,watermelon
102,28,54,6.862157042,watermelon
98,25,52,6.224066378,watermelon
97,25,50,6.093814669,watermelon
90,16,45,6.291540278,watermelon
95,12,46,6.32281728,watermelon
82,23,49,6.873283991,watermelon
82,25,51,6.074209622,watermelon
110,28,46,6.49889585,watermelon
118,21,51,6.678805092,watermelon
120,20,45,6.114128685,watermelon
91,7,52,6.405054243,watermelon
81,6,55,6.110142735,watermelon
101,13,54,6.828982708,watermelon
101,17,55,6.451499764,watermelon
111,6,53,6.313512999,watermelon
